,status,material_id,time
35535,,mp-1186323,0.6912879943847656
34378,E,mp-1180046,0.6914234161376953
32843,,mp-1183761,0.6916122436523438
22984,,mp-12921,0.6916468143463135
31578,E,mp-1187447,0.6916618347167969
40041,,mp-2273,0.6917519569396973
18904,,mp-1218272,0.6919023990631104
29088,,mp-864933,0.6920382976531982
6320,,mp-12723,0.6923336982727051
42558,,mp-865984,0.6924026012420654
9746,,mp-1187200,0.6924166679382324
26350,,mp-2845,0.6924941539764404
14035,,mp-1072474,0.6926629543304443
22611,E,mp-1027646,0.6926651000976562
8334,,mp-952,0.692826509475708
25587,,mp-1224976,0.6930012702941895
38820,,mp-862673,0.6930265426635742
33631,,mp-1187925,0.6930460929870605
44953,,mp-1216551,0.6931967735290527
17717,,mp-1183592,0.6932709217071533
34030,,mp-23033,0.6933650970458984
11896,E,mp-2977,0.6933910846710205
41240,,mp-1186244,0.6935708522796631
33222,,mp-1017553,0.693737268447876
21968,,mp-1221387,0.6938090324401855
29273,,mp-1206880,0.6938245296478271
39364,E,mp-998193,0.6940474510192871
10869,,mp-22154,0.6940762996673584
36183,E,mp-1080689,0.6941125392913818
42642,,mp-866111,0.6941218376159668
18486,,mp-10861,0.6941883563995361
20964,,mp-1526,0.6942844390869141
3459,,mp-10598,0.6945161819458008
29366,,mp-20040,0.6945614814758301
17109,,mp-22566,0.694788932800293
14106,,mp-6980,0.6948130130767822
30476,,mp-27718,0.6948182582855225
25980,,mp-1225541,0.6949067115783691
24020,,mp-1077471,0.6950728893280029
13992,,mp-1183884,0.6952190399169922
32609,,mp-9953,0.6952433586120605
41691,,mp-1089,0.6954813003540039
40396,,mp-1220270,0.6957595348358154
23186,E,mp-626644,0.6957859992980957
15269,E,mp-1217770,0.6958000659942627
8049,E,mp-753575,0.6960399150848389
37841,,mp-542734,0.6960597038269043
31625,E,mp-626143,0.6961252689361572
5815,E,mp-861872,0.6962337493896484
36744,,mp-8949,0.6962735652923584
15,E,mp-1028590,0.6963343620300293
20791,,mp-11359,0.6963770389556885
34137,,mp-1183556,0.6966519355773926
32708,E,mp-23215,0.6966536045074463
29028,,mp-866229,0.6966705322265625
35230,,mp-979012,0.6967344284057617
34212,E,mp-1102595,0.6968393325805664
19732,,mp-1101377,0.6968905925750732
26096,,mp-1207093,0.6969480514526367
40431,E,mp-1025572,0.6969916820526123
32947,E,mp-1186110,0.6970281600952148
35390,,mp-1184586,0.697174072265625
11731,,mp-20828,0.6972346305847168
35713,,mp-1207140,0.697242021560669
16810,,mp-1184611,0.6973824501037598
40234,,mp-554462,0.6974234580993652
23299,,mp-754892,0.697535514831543
30509,E,mp-15123,0.6976058483123779
1611,E,mp-1027267,0.6976404190063477
39970,,mp-5020,0.6981503963470459
556,E,mp-865398,0.6981642246246338
36336,,mp-979424,0.6982252597808838
6372,,mp-1228749,0.6983096599578857
30839,,mp-22481,0.6983377933502197
15553,,mp-1226733,0.6984050273895264
24487,,mp-865130,0.6986277103424072
37652,,mp-1217699,0.698657751083374
30627,E,mp-1018115,0.6986916065216064
40353,,mp-2542,0.6987054347991943
15796,E,mp-29427,0.6987824440002441
11417,,mp-1229012,0.6988444328308105
17189,,mp-1187420,0.6991593837738037
26995,E,mp-570044,0.6992089748382568
38109,,mp-1018630,0.6992237567901611
23587,,mp-1181468,0.6992888450622559
27712,,mp-1062935,0.6993794441223145
21829,,mp-998911,0.6994028091430664
35986,,mp-21427,0.6995117664337158
203,E,mp-1078858,0.699638843536377
32620,,mp-1238831,0.6996781826019287
15236,,mp-1185908,0.699805736541748
36559,,mp-570691,0.7000391483306885
25819,E,mp-568177,0.7001361846923828
30158,,mp-1208019,0.7001619338989258
9146,E,mp-1217314,0.7003872394561768
38560,,mp-865912,0.7004363536834717
1588,,mp-4824,0.700575590133667
38105,,mp-20031,0.7006559371948242
33822,,mp-27214,0.7007865905761719
28806,E,mp-1030247,0.7008330821990967
6590,,mp-3136,0.7009296417236328
39352,E,mp-1220676,0.7009425163269043
39424,,mp-1224333,0.7009470462799072
26991,,mp-979431,0.7010664939880371
3116,,mp-506,0.7010986804962158
27298,,mp-1219713,0.7011630535125732
22584,E,mp-1207031,0.7012841701507568
43425,,mp-1217901,0.701338529586792
32830,E,mp-1224413,0.701509952545166
23626,,mp-1185458,0.7015917301177979
32778,,mp-1206419,0.7016782760620117
27347,,mp-1222011,0.7017514705657959
41654,E,mp-998914,0.7018306255340576
37890,,mp-3464,0.70186448097229
33361,,mp-866171,0.7020294666290283
20673,,mp-1187072,0.7021279335021973
38108,,mp-867761,0.7021920680999756
24040,,mp-1185435,0.7022044658660889
35417,,mp-1227265,0.7022097110748291
27436,,mp-567313,0.7024900913238525
13741,,mp-11287,0.7025175094604492
27695,,mp-1245745,0.7027699947357178
16750,E,mp-753059,0.7028756141662598
5800,,mp-569360,0.7030041217803955
34509,,mp-863671,0.7031047344207764
4477,,mp-1013643,0.7034120559692383
36182,,mp-1229046,0.703425407409668
15537,,mp-11578,0.7035171985626221
40985,,mp-4304,0.7038047313690186
36404,E,mp-14193,0.7039234638214111
11151,,mp-999549,0.7039430141448975
30376,,mp-1215434,0.7040960788726807
28691,E,mp-862802,0.7043962478637695
15905,,mp-1186559,0.7048871517181396
41027,,mp-863742,0.7049102783203125
41921,,mp-1186563,0.7050380706787109
20061,,mp-1224103,0.705188512802124
27811,E,mp-1067627,0.7052505016326904
37560,,mp-862978,0.7052562236785889
42488,,mp-983428,0.7053470611572266
4309,E,mp-1224388,0.705397367477417
36770,,mp-1080258,0.7054567337036133
32395,,mp-1224060,0.705460786819458
16800,E,mp-505142,0.7055485248565674
5605,,mp-1225547,0.7057075500488281
4981,,mp-191,0.7057695388793945
34023,,mp-1241,0.7059414386749268
40401,,mp-864974,0.7059650421142578
29501,E,mp-27713,0.7063055038452148
36479,E,mp-1221756,0.7064335346221924
13249,,mp-1225578,0.7064847946166992
29481,,mp-1184692,0.7065861225128174
40938,,mp-568005,0.7065966129302979
8657,,mp-10616,0.7066619396209717
13629,E,mp-7263,0.706688642501831
17533,,mp-31337,0.7067105770111084
6324,,mp-804,0.7067632675170898
35897,,mp-7070,0.7068064212799072
33787,E,mp-985302,0.7068359851837158
11820,,mp-10194,0.7068812847137451
2751,E,mp-23052,0.7068943977355957
24996,E,mp-1218953,0.706904411315918
39499,,mp-1228890,0.7069072723388672
27611,,mp-2442,0.7070202827453613
4877,,mp-1076916,0.7070736885070801
15429,,mp-1225072,0.7071828842163086
31256,,mp-15795,0.7075743675231934
18752,,mp-1218982,0.7077248096466064
9038,,mp-999338,0.7077250480651855
32584,,mp-1114395,0.7079734802246094
5988,,mp-1367,0.7082014083862305
35175,,mp-867168,0.7082464694976807
28132,E,mp-1228684,0.7083225250244141
25284,E,mp-864755,0.7085180282592773
21509,,mp-1186350,0.7085492610931396
1424,,mp-1187739,0.7085962295532227
3944,E,mp-30244,0.708646297454834
41251,,mp-1184622,0.7088243961334229
13799,,mp-3769,0.7088577747344971
24758,,mp-922,0.708904504776001
34962,,mp-978823,0.7090761661529541
36557,,mp-1184030,0.7091116905212402
41441,,mp-1271693,0.7091810703277588
24995,E,mp-20166,0.7092082500457764
18656,,mp-972352,0.7093865871429443
